Vend Code | Customer Code | Customer Name | Operator Code
2773 | 16121 (USD) | Sungei Gedong Camp, Blk 380 - MINDEF | HIMD
2774 | 16284 (USD) | Bedok Camp 2, Blk 103 Lvl 1 - MINDEF (Appt.) (Free Placement) | HIMD
2775 | 15883 (CFK) | Riverbank @ Fernvale Condo | HIPL
2776 | 15866 (CEP) | Bukit Batok St 22, Bukit Batok ActiveSG (Swimming Pool) | HIPL
2779 | 15885 (USD) | Jurong West St 41 Blk 460, Bb House | HIPL
2781 | 16666 (BEC) | Leedon Residence Condo | HIPL
2783 | 16210 (USD) | Pasir Laba Camp, Blk 216 Outside Orchid Auditorium - MINDEF | HIMD
2785 | 15886 (CDR) | Woodlands Dr 40 Blk 702, Ascenda Educare | HIPL
2786 | 15770 (UFI) | The Visionaire Condo (Rental To Cheers) | HIPL
2788 | 16285 (USD) | Keat Hong Camp, Blk 23B (Free Placement) | HIMD
2789 | 15891 (CDR) | Castle Green Condo | HIPL
2790 | 16039 (BEC2) | Foresque Residences Condo | HIPL
2792 | 16108 (USD) | Kranji Camp 3, Blk 603 - MINDEF (Appt.) | HIMD
2793 | 15944 (UFI) | Bukit Timah Rd, Hwa Chong's Boarding Hostel (Rental To Cheers) | HIPL
2794 | 15781 (CEP) | Yuan Ching Rd, Jurong Lake Garden ActiveSG | HIPL
2795 | 16738 (UFNH) | Pasir Ris Walk, Masjid Al-Istighfar | HIPL
2796 | 16128 (CEP) | Bukit Gombak Camp HQ, Blk 303 Lvl B1 - MINDEF | HIMD
2798 | 15779 (UD) | Toa Payoh Lor 8, Caritas Singapore | HIPL
2799 | 16127 (CDR) | Dover Parkview Condo | HIPL
2800 | 16113 (CFQ) | Compassvale Crescent, Compassvale Secondary School (Canteen) | HIPL
2802 | 16683 (UD) | The Arte Condo | HIPL
2803 | 15867 (CEP) | Anchorvale Rd, Sengkang ActiveSG (Outside Swimming Pool 1) | HIPL
2805 | 15922 (UFI) | Yishun St 11 Blk 162 | HIPL
2807 | 15923 (CFP) | Yishun Ave 9, Nee Soon East CC | HIPL
2809 | 15924 (BFC) | Tampines St 84 Blk 873, Handywash | HIPL
2810 | 16098 (CDR) | Principal Garden Condo (Rental to Cheers) | HIPL
